                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.3139,                 3.4479,                  1.683,                0.88709,                0.04118,                0.14073,                0.07222,                 1.9621,                 3.5686,                 1.4293,             0.00036108,             0.00036108,             0.00036108
                      2,                  2.001,                 2.2518,                 1.4818,                0.44866,                0.31467,                0.39552,                0.18236,                  1.954,                 2.2914,                 1.4415,             0.00071693,             0.00071693,             0.00071693
                      3,                  1.937,                 1.9216,                 1.4465,                0.38398,                0.54878,                0.50987,                0.23203,                 1.9093,                 2.5813,                 1.4409,              0.0010581,              0.0010581,              0.0010581
                      4,                 1.8228,                 1.6988,                  1.366,                 0.5271,                 0.3836,                0.44621,                0.14835,                 2.5364,                 2.4154,                 1.9693,               0.001045,               0.001045,               0.001045
                      5,                 1.7979,                 1.6223,                 1.3354,                0.56037,                0.64705,                 0.6375,                0.31557,                 1.8708,                 1.6067,                 1.3625,               0.001023,               0.001023,               0.001023
                      6,                  1.755,                 1.5513,                 1.3366,                0.68352,                0.52269,                0.59278,                0.31292,                 1.6891,                 1.5381,                 1.2933,               0.001001,               0.001001,               0.001001
                      7,                 1.6737,                 1.4648,                 1.2949,                0.60216,                0.68628,                0.71738,                0.36143,                 1.7045,                 1.3796,                 1.2794,             0.00097901,             0.00097901,             0.00097901
                      8,                 1.6604,                 1.4174,                 1.2907,                0.54619,                0.71528,                0.69337,                0.37848,                 1.6054,                 1.3836,                 1.2392,             0.00095702,             0.00095702,             0.00095702
                      9,                 1.6368,                 1.3585,                 1.2702,                0.70358,                0.69354,                0.74119,                0.41435,                 1.5622,                   1.32,                 1.2132,             0.00093502,             0.00093502,             0.00093502
                     10,                   1.59,                 1.2601,                 1.2372,                0.71284,                0.75195,                0.76865,                0.38644,                 1.6306,                 1.1962,                 1.2559,             0.00091302,             0.00091302,             0.00091302
                     11,                 1.5684,                 1.2359,                 1.2324,                0.66176,                0.76707,                0.76903,                0.42448,                 1.5451,                 1.1612,                 1.1963,             0.00089102,             0.00089102,             0.00089102
                     12,                 1.5268,                 1.2001,                 1.2173,                 0.7049,                0.73181,                0.78118,                 0.4491,                 1.5409,                 1.2341,                 1.2115,             0.00086902,             0.00086902,             0.00086902
                     13,                 1.5174,                   1.17,                 1.2155,                0.68133,                0.79602,                0.80594,                0.43058,                 1.5577,                 1.1694,                 1.2037,             0.00084703,             0.00084703,             0.00084703
                     14,                 1.4938,                 1.1366,                 1.1958,                0.86459,                0.72562,                0.80725,                0.44995,                 1.5938,                 1.0961,                  1.217,             0.00082503,             0.00082503,             0.00082503
                     15,                 1.4466,                 1.0673,                 1.1653,                0.72552,                0.71494,                0.74895,                0.40487,                 1.6419,                 1.1482,                 1.2361,             0.00080303,             0.00080303,             0.00080303
                     16,                 1.4709,                 1.0933,                 1.1811,                0.77566,                0.76101,                0.81639,                 0.4756,                 1.4745,                 1.0411,                 1.1705,             0.00078103,             0.00078103,             0.00078103
                     17,                 1.4217,                 1.0472,                 1.1707,                0.79399,                0.69932,                0.79498,                0.46834,                 1.4633,                 1.0629,                 1.1669,             0.00075904,             0.00075904,             0.00075904
                     18,                 1.4233,                  1.033,                 1.1588,                0.74258,                0.78056,                0.83177,                0.46995,                 1.4872,                 1.0701,                 1.1797,             0.00073704,             0.00073704,             0.00073704
                     19,                 1.4238,                 1.0359,                 1.1645,                0.74504,                0.77437,                0.83482,                0.48814,                 1.4704,                 1.0246,                 1.1773,             0.00071504,             0.00071504,             0.00071504
